temperature,humidity,pressure,status
18.2756921129567,53.10415483868235,1009.7919990231452,0
20.592597442577116,48.84107944941069,1011.902356768902,0
22.167757165801447,44.67973748792509,1011.3504977123067,1
22.642040882215614,58.145359760027276,1010.0325114074553,1
16.919521597739163,52.033329382752704,1012.5302412784253,1
26.42778703571822,39.06407062222489,1012.0239982700881,0
19.75553122790179,44.74276917202471,1010.7557639169828,0
21.82144638472264,35.06771375845766,1006.6784072579866,1
16.388754456589233,37.19935752277027,1010.2894398143667,0
17.783693224870316,60.995249923297315,1013.4994309219986,1
25.034524981278324,47.075080253076955,1010.4670041354141,1
20.16506067418668,51.19993580480184,1011.9934204031022,0
23.534380396193658,47.027424650606605,1007.7076759687483,1
24.83087649344578,37.642180749327395,1006.6139700339744,0
33.06159869965852,47.53171686833731,1009.0758910490289,1
17.242696564201594,59.206305792764304,1012.4374066488225,0
22.265101181197018,53.03701918574295,1009.2933739838986,1
13.753909034725666,64.92122883094635,1009.6145295535143,1
30.605960268268092,42.43636342480515,1014.522236866057,1
13.410225464303398,55.382829696096955,1007.8681925670022,0
21.74545494897538,60.36813986783765,1007.3163638436605,0
20.842436127305778,58.18529293310014,1004.2504051088523,0
18.442585023990755,52.44300368919919,1005.7983969650254,0
25.949654608986776,55.55679395834505,1010.274616381774,1
21.38406173796025,51.796223432236346,1006.820037942352,1
15.750389265169773,58.729049042047606,1006.4250722691525,0
11.536111854700454,47.13604862663335,1011.5130272686713,1
18.061714087193224,50.51698312091507,1009.2633095641166,1
25.516025079716734,49.06260305057945,1012.2399690998194,0
31.970027984253335,58.48280032848801,1013.1510877339008,0
25.873850369571006,43.7105555613532,1010.7310476709049,0
18.480236077360015,58.87906729304503,1012.9856841347735,1
25.264862809290623,39.41340251094303,1007.6358337096725,0
22.449004206398598,66.24948491079176,1008.3586791935123,1
27.18765522775317,36.564691625309024,1010.0235892570901,1
18.816645753646398,38.280120029894576,1016.465763093906,0
19.510072101864512,63.95026631790746,1011.7048281073429,0
22.385209987536722,50.52395024745132,1018.3154807936122,0
20.48147131132871,53.05184051823697,1008.0444614518572,0
31.284532222875708,61.46422857609242,1010.7393632248638,0
22.9630761608854,63.2038700263483,1007.1378153806832,1
15.060520415841834,50.97963477266257,1009.0016465800843,1
19.622245479112724,34.11885143338287,1007.4778182762486,0
14.043559837563926,52.77440434141798,1015.4091452651888,1
21.944154431703225,41.38202513333219,1006.6647086516034,1
16.406363006994766,34.73503196043637,1010.6972931830178,1
32.95789393685559,44.69882361512642,1014.1001533601678,0
15.352143595770723,59.29022152645848,1012.4509132669394,1
31.00613312203196,58.22138934863631,1006.4552289727336,1
11.47784899945319,44.17428259835428,1010.3085090588927,1
